#=============================================================================#
# Testing: org.jenetics.util.XORShiftRandom                                   #
#=============================================================================#
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  8.14e+06  |2197791513|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.24654937|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.14116434|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.72558233|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.99465252|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.52822142|  PASSED  
        diehard_opso|   0|   2097152|     100|0.23298089|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.91553991|  PASSED  
         diehard_dna|   0|   2097152|     100|0.92083078|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.00574066|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.11718298|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.62905479|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.99192575|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.09727439|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.33527362|  PASSED  
        diehard_sums|   0|       100|     100|0.39820802|  PASSED  
        diehard_runs|   0|    100000|     100|0.20786393|  PASSED  
        diehard_runs|   0|    100000|     100|0.56734636|  PASSED  
       diehard_craps|   0|    200000|     100|0.54903905|  PASSED  
       diehard_craps|   0|    200000|     100|0.66485133|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.56986982|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.49366744|  PASSED  
         sts_monobit|   1|    100000|     100|0.85744641|  PASSED  
            sts_runs|   2|    100000|     100|0.98133129|  PASSED  
          sts_serial|   1|    100000|     100|0.91893189|  PASSED  
          sts_serial|   2|    100000|     100|0.29077028|  PASSED  
          sts_serial|   3|    100000|     100|0.96782425|  PASSED  
          sts_serial|   3|    100000|     100|0.63126497|  PASSED  
          sts_serial|   4|    100000|     100|0.99410473|  PASSED  
          sts_serial|   4|    100000|     100|0.43091228|  PASSED  
          sts_serial|   5|    100000|     100|0.95864161|  PASSED  
          sts_serial|   5|    100000|     100|0.52631594|  PASSED  
          sts_serial|   6|    100000|     100|0.45441161|  PASSED  
          sts_serial|   6|    100000|     100|0.02562063|  PASSED  
          sts_serial|   7|    100000|     100|0.72406978|  PASSED  
          sts_serial|   7|    100000|     100|0.14000978|  PASSED  
          sts_serial|   8|    100000|     100|0.49734685|  PASSED  
          sts_serial|   8|    100000|     100|0.58257414|  PASSED  
          sts_serial|   9|    100000|     100|0.27920295|  PASSED  
          sts_serial|   9|    100000|     100|0.08732524|  PASSED  
          sts_serial|  10|    100000|     100|0.64175865|  PASSED  
          sts_serial|  10|    100000|     100|0.86318854|  PASSED  
          sts_serial|  11|    100000|     100|0.62760937|  PASSED  
          sts_serial|  11|    100000|     100|0.42372309|  PASSED  
          sts_serial|  12|    100000|     100|0.30686822|  PASSED  
          sts_serial|  12|    100000|     100|0.71190910|  PASSED  
          sts_serial|  13|    100000|     100|0.91006101|  PASSED  
          sts_serial|  13|    100000|     100|0.04253127|  PASSED  
          sts_serial|  14|    100000|     100|0.22913279|  PASSED  
          sts_serial|  14|    100000|     100|0.03455083|  PASSED  
          sts_serial|  15|    100000|     100|0.85424458|  PASSED  
          sts_serial|  15|    100000|     100|0.64911202|  PASSED  
          sts_serial|  16|    100000|     100|0.91332690|  PASSED  
          sts_serial|  16|    100000|     100|0.60737644|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.52085140|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.97035422|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.94007941|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.65965439|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.42220373|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.80678743|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.61422785|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.05347516|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.32680823|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.59080910|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.48434340|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.28220453|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.53160132|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.71830164|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.63108780|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.67054084|  PASSED  
    rgb_permutations|   2|    100000|     100|0.89852367|  PASSED  
    rgb_permutations|   3|    100000|     100|0.97991068|  PASSED  
    rgb_permutations|   4|    100000|     100|0.74863138|  PASSED  
    rgb_permutations|   5|    100000|     100|0.07818773|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.74801092|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.78553740|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.38532616|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.48601382|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.68316279|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.51452207|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.87263327|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.83838740|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.52050056|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.71867073|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.26277730|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.91542486|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.92463765|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.49427331|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.89330537|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.31125854|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.30080396|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.15706574|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.31261238|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.83020077|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.97989160|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.33122427|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.13848232|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.39261093|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.62880621|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.96445105|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.95144502|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.14768477|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.91312709|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.99934985|   WEAK   
      rgb_lagged_sum|  30|   1000000|     100|0.81718766|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.77415664|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.52790494|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.07507469|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.93643343|  PASSED  
             dab_dct| 256|     50000|       1|0.86629689|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.20531561|  PASSED  
        dab_filltree|  32|  15000000|       1|0.41150283|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.61066360|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.09725065|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|1.00000000|  FAILED  
#=============================================================================#
# Runtime: 2:04:30                                                            #
#=============================================================================#
#=============================================================================#
# Testing: org.jenetics.util.HQ32Random                                       #
#=============================================================================#
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  8.23e+06  |  67103347|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.78687780|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.39506344|  PASSED  
