City,State,Latitude,Longitude,Height
Amstetten,Niederösterreich,48.12502000,14.86934000,287
Baden,Niederösterreich,48.00214000,16.23091000,229
Bludenz,Vorarlberg,47.15991000,9.80821000,562
Braunau am Inn,Oberösterreich,48.25912400,13.04798800,348
Bregenz,Vorarlberg,47.50075000,9.74231000,408
Bruck an der Leitha,Niederösterreich,48.02375000,16.77534000,156
Mürzzuschlag,Steiermark,47.60687000,15.67171000,670
Deutschlandsberg,Steiermark,46.81595000,15.21338000,371
Eferding,Oberösterreich,48.30879000,14.02023000,269
Eisenstadt,Burgenland,47.84637000,16.52796000,169
Feldkirch,Vorarlberg,47.24128000,9.60190000,457
Feldkirchen in Kärnten,Kärnten,46.72674070,14.08888060,557
Freistadt,Oberösterreich,48.50217000,14.50201000,547
Gänserndorf,Niederösterreich,48.34067000,16.71754000,164
Gmünd,Niederösterreich,48.77156000,14.98511000,490
Gmunden,Oberösterreich,47.91839000,13.79933000,434
Graz,Steiermark,47.07071400,15.43950400,362
Grieskirchen,Oberösterreich,48.23587000,13.82617000,342
Gröbming,Steiermark,47.44447820,13.90187250,768
Güssing,Burgenland,47.05932000,16.32449000,226
Hallein,Salzburg,47.68248000,13.10037000,446
Hartberg-Fürstenfeld,Steiermark,47.28150000,15.97302000,345
Hermagor,Kärnten,46.62739210,13.37119960,593
Hollabrunn,Niederösterreich,48.56256960,16.07872280,224
Horn,Niederösterreich,48.66607000,15.65716000,313
Imst,Tirol,47.24013000,10.73954000,796
Innsbruck,Tirol,47.26921240,11.40410240,576
Jennersdorf,Burgenland,46.93712000,16.12961000,247
Kirchdorf an der Krems,Oberösterreich,47.90626000,14.11983000,441
Kitzbühel,Tirol,47.44499000,12.39143000,757
Klagenfurt,Kärnten,46.63645980,14.31222460,445
Korneuburg,Niederösterreich,48.34472000,16.33149000,169
Krems an der Donau,Niederösterreich,48.40999000,15.60384000,199
Kufstein,Tirol,47.58237000,12.16275000,491
Landeck,Tirol,47.14057000,10.56558000,781
Leibnitz,Steiermark,46.79043000,15.56207000,271
Leoben,Steiermark,47.37639000,15.09113000,540
Lienz,Tirol,46.82769000,12.76272000,676
Liezen,Steiermark,47.56741000,14.24315000,663
Lilienfeld,Niederösterreich,48.01806380,15.59454980,400
Linz,Oberösterreich,48.30694000,14.28583000,261
Mattersburg,Burgenland,47.73625000,16.39663000,238
Melk,Niederösterreich,48.22647000,15.34996000,251
Mistelbach,Niederösterreich,48.56743000,16.57220000,200
Mödling,Niederösterreich,48.08255000,16.28690000,220
Murau,Steiermark,47.11304000,14.16904000,839
Murtal,Steiermark,47.16877630,14.66003960,736
Neunkirchen,Niederösterreich,47.72607000,16.08121000,366
Neusiedl am See,Burgenland,47.94736000,16.84537000,125
Oberpullendorf,Burgenland,47.49497000,16.50879000,242
Oberwart,Burgenland,47.29482000,16.19914000,319
Perg,Oberösterreich,48.24992000,14.63474000,249
Reutte,Tirol,47.48879000,10.71865000,856
Ried im Innkreis,Oberösterreich,48.21272000,13.49272000,442
Rohrbach in Oberösterreich,Oberösterreich,48.57242640,13.98924090,599
Rust,Burgenland,47.80238000,16.67218000,122
Salzburg,Salzburg,47.80949000,13.05501000,431
St. Johann im Pongau,Salzburg,47.34892000,13.20419000,609
St. Pölten,Niederösterreich,48.20353000,15.63817000,268
St. Veit an der Glan,Kärnten,46.76748000,14.36151000,480
Schärding,Oberösterreich,48.46051000,13.43268000,308
Scheibbs,Niederösterreich,48.00804000,15.16781000,338
Schwaz,Tirol,47.35020000,11.70584000,538
Spittal an der Drau,Kärnten,46.79968000,13.49280000,560
Steyr,Oberösterreich,48.05009000,14.41827000,337
Feldbach,Steiermark,46.95279000,15.88784000,282
Tamsweg,Salzburg,47.12955000,13.81036000,1018
Tulln an der Donau,Niederösterreich,48.33149490,16.06073700,178
Urfahr,Oberösterreich,48.31911100,14.29108500,257
Villach,Kärnten,46.60856000,13.85062000,497
Voitsberg,Steiermark,47.04326800,15.15363300,390
Vocklabruck,Oberösterreich,48.00334000,13.65613000,432
Völkermarkt,Kärnten,46.66207000,14.63359000,464
Waidhofen an der Thaya,Niederösterreich,48.81547000,15.28330000,501
Waidhofen an der Ybbs,Niederösterreich,47.96023000,14.77283000,360
Weiz,Steiermark,47.21717000,15.62297000,469
Wels,Oberösterreich,48.16542000,14.03664000,313
Wien,Wien,48.20817430,16.37381890,171
Wiener Neustadt,Niederösterreich,47.80279000,16.23318000,271
Wolfsberg,Kärnten,46.84010000,14.84277000,450
Zell am See,Salzburg,47.32352000,12.79685000,765
Zwettl,Niederösterreich,48.60583530,15.16626920,531
